 ,Area,Mean,Min,Max,Angle,Length
1,0.678,63.862,17.849,201.000,124.077,7.419
2,0.523,47.292,27.531,145.667,120.651,5.673
3,0.466,52.592,20.269,115.584,-52.306,5.025
4,0.384,77.167,29.473,199.149,107.650,4.173
5,0.449,43.706,12.444,144.333,96.340,4.910
6,0.564,70.414,39.195,184.234,130.236,6.156
7,0.392,48.693,6.783,106.917,64.537,4.204
8,0.474,77.470,27.384,172.333,119.249,5.179
9,0.531,47.216,7.523,218.000,-138.814,5.764
10,0.490,41.519,6.367,92.106,-107.819,5.316
11,0.547,58.790,9.273,206.333,109.537,5.945
12,0.400,73.453,20.475,193.639,16.928,4.345
13,0.547,65.439,40.446,176.000,-77.661,5.921
14,0.417,43.289,9.387,97.773,87.709,4.522
15,0.400,43.896,17.556,85.333,106.928,4.345
16,0.588,58.841,22.432,171.333,78.690,6.451
17,0.425,61.825,15.990,178.333,99.090,4.576
18,0.539,60.622,28.270,107.000,72.121,5.887
19,0.425,74.151,24.451,172.333,131.820,4.608
20,0.417,55.980,26.333,78.667,0.000,4.519
21,0.376,25.856,6.667,69.605,116.565,4.042
22,0.506,47.293,0.390,136.667,7.595,5.470
23,0.515,58.251,9.086,182.000,-3.691,5.615
24,0.555,67.468,30.811,189.000,116.565,6.062
25,0.417,34.339,8.467,72.067,-126.870,4.519
26,0.482,47.738,34.373,69.667,-116.565,5.254
27,0.523,81.723,34.776,155.787,79.046,5.707
28,0.515,29.834,1.624,100.000,69.228,5.606
29,0.376,37.155,5.178,128.222,122.276,4.062
30,0.506,57.053,9.684,217.667,121.608,5.518
31,0.539,72.538,5.723,219.021,156.571,5.910
32,0.400,45.469,6.000,178.333,119.745,4.372
33,0.482,60.336,15.919,192.000,-159.677,5.204
34,0.400,57.007,0.875,161.167,135.000,4.345
35,0.408,80.078,14.767,205.971,153.435,4.446
36,0.384,75.433,33.000,141.667,90.000,4.157
37,0.490,50.672,19.526,107.498,-107.819,5.316
38,0.645,63.611,11.111,156.000,-166.675,7.058
39,0.441,59.582,27.997,97.571,-70.201,4.803
40,0.368,55.642,8.185,182.000,-114.228,3.964
41,0.319,23.480,9.474,86.000,152.103,3.477
42,0.457,75.658,18.169,187.660,-49.399,4.999
43,0.368,59.482,7.164,242.871,-125.838,4.013
44,0.417,70.511,6.773,200.093,156.501,4.533
45,0.417,83.313,23.479,221.335,46.637,4.475
46,0.400,53.883,8.361,130.250,177.614,4.342
47,0.498,53.626,32.478,106.289,88.091,5.425
48,0.588,50.492,29.685,129.667,81.870,6.390
49,0.392,54.056,12.219,104.405,126.384,4.266
50,0.596,71.368,10.667,198.500,117.979,6.549
51,0.482,55.080,11.224,182.667,74.055,5.263
52,0.564,50.730,2.323,162.000,132.614,6.140
53,0.490,39.696,5.966,244.000,-54.689,5.316
54,0.506,79.913,18.787,162.000,-9.462,5.497
55,0.490,53.741,4.218,170.566,66.038,5.340
56,0.278,58.769,15.559,124.623,-115.017,2.992
57,0.359,52.357,1.206,166.000,-111.801,3.893
58,0.449,100.241,34.790,246.700,31.329,4.867
59,0.498,54.082,2.333,169.667,143.130,5.422
60,0.613,55.211,3.364,175.000,143.746,6.724
61,0.474,35.751,11.380,81.667,57.995,5.115
62,1122.000,206.808,0.000,255.000,0.000,0.000
63,0.506,69.181,15.985,159.667,101.310,5.530
64,0.335,55.073,23.333,105.883,92.862,3.619
65,0.441,74.868,35.035,150.796,124.287,4.813
66,0.498,63.690,25.027,195.667,-36.870,5.422
67,0.547,65.721,34.455,120.394,1.736,5.967
68,0.482,71.287,28.987,176.611,67.834,5.270
69,0.482,74.842,37.904,126.253,59.036,5.270
70,0.482,75.977,20.870,220.000,157.834,5.270
71,0.408,27.184,2.407,85.576,-145.008,4.413
72,0.466,52.728,9.755,130.540,-127.694,5.025
73,0.588,29.595,1.720,74.552,98.130,6.390
74,0.466,53.567,25.886,87.667,-124.824,5.064
75,0.408,55.095,15.481,144.695,-111.371,4.464
76,0.433,57.798,13.436,101.513,85.601,4.713
77,0.392,52.703,10.593,173.667,102.265,4.254
78,0.506,64.914,28.647,121.674,-66.801,5.506
79,0.466,69.046,28.310,141.833,120.256,5.022
80,0.506,54.041,16.405,163.333,131.009,5.509
81,0.368,50.621,15.606,115.587,125.838,4.013
82,0.449,62.184,19.896,122.611,-68.199,4.867
83,0.433,58.726,11.333,138.513,96.582,4.731
84,0.515,67.355,15.086,153.610,-54.246,5.568
85,0.335,22.910,5.917,49.693,-57.095,3.660
86,0.343,69.154,15.946,183.333,133.025,3.709
87,0.392,78.867,18.152,251.552,140.194,4.235
88,0.531,57.097,1.764,196.333,-46.273,5.753
89,0.678,54.119,19.895,93.636,161.565,7.430
90,0.637,54.187,8.300,118.333,-62.103,6.953
91,0.506,30.660,1.000,73.782,-160.974,5.545
92,0.580,61.496,11.067,138.210,-91.637,6.329
93,0.474,43.432,1.395,159.459,-108.435,5.144
94,0.555,44.449,1.181,202.333,-98.616,6.033
95,0.400,36.300,0.667,155.000,119.745,4.372
96,0.580,28.674,2.181,75.667,-86.730,6.336
97,0.694,17.466,0.551,139.667,157.694,7.619
98,0.572,53.558,26.523,116.333,-168.366,6.274
99,0.457,58.582,20.408,164.667,146.889,4.963
100,0.751,65.360,22.102,223.435,-97.595,8.206
101,0.343,62.106,23.075,111.460,-168.690,3.687
